epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,618.608,0.60851,3.90187,1.34443,0.63917,0.78318,0.74812,0.74779,0.22795,2.37628,0.34233,0.0733397,0.00666508,0.00666508
2,1201.8,0.26317,2.57489,1.02707,0.69983,0.79821,0.80234,0.802,0.21619,2.10525,0.33237,0.0466704,0.0133291,0.0133291
3,1776.02,0.26615,2.49666,1.02043,0.70349,0.81689,0.81642,0.80997,0.21682,2.13066,0.35065,0.0199906,0.0199826,0.0199826
4,2351.2,0.25819,2.44938,1.01555,0.75541,0.82942,0.85986,0.84845,0.35471,2.09527,0.52436,0.0199645,0.0199645,0.0199645
5,2925.01,0.23541,2.32087,1.00227,0.81969,0.82659,0.88712,0.88664,0.25818,1.97901,0.41915,0.0199369,0.0199369,0.0199369
6,3496.15,0.21924,2.21769,0.99112,0.8494,0.84185,0.9049,0.90068,0.27356,1.79359,0.41599,0.0199015,0.0199015,0.0199015
7,4067.86,0.21115,2.15613,0.98604,0.87155,0.85919,0.92541,0.92446,0.29991,1.89973,0.42309,0.0198583,0.0198583,0.0198583
8,4638.88,0.20575,2.0972,0.98377,0.86682,0.87044,0.93203,0.92764,0.273,2.00352,0.42724,0.0198073,0.0198073,0.0198073
9,6360.84,0.19984,2.03295,0.98059,0.89389,0.89402,0.94865,0.94804,0.27226,1.72631,0.40447,0.0197487,0.0197487,0.0197487
10,6964.76,0.19708,2.01175,0.9787,0.90437,0.88179,0.95136,0.94806,0.29866,1.79032,0.45034,0.0196823,0.0196823,0.0196823
11,8688,0.19188,1.94948,0.97296,0.90874,0.90646,0.96153,0.95754,0.29995,1.83056,0.4539,0.0196085,0.0196085,0.0196085
12,9304.08,0.18939,1.92422,0.97376,0.92616,0.90632,0.96449,0.96146,0.29967,1.82218,0.44519,0.019527,0.019527,0.019527
13,11073.7,0.18634,1.88384,0.97151,0.94209,0.91524,0.97253,0.97206,0.24288,1.59771,0.37239,0.0194382,0.0194382,0.0194382
14,11687.7,0.18574,1.83856,0.97159,0.93708,0.92265,0.97432,0.97339,0.26599,1.55281,0.39967,0.019342,0.019342,0.019342
15,12295.5,0.18339,1.81675,0.97022,0.94901,0.9273,0.97718,0.97659,0.23818,1.44482,0.37019,0.0192386,0.0192386,0.0192386
16,13953.1,0.17853,1.79652,0.96609,0.94693,0.9371,0.97981,0.97863,0.27965,1.52448,0.41941,0.0191281,0.0191281,0.0191281
17,14562.5,0.17902,1.79549,0.96732,0.94749,0.94049,0.98106,0.98033,0.27556,1.43982,0.40884,0.0190105,0.0190105,0.0190105
18,16228.2,0.17675,1.76023,0.96533,0.96005,0.93515,0.98253,0.97312,0.28071,1.47874,0.41981,0.0188859,0.0188859,0.0188859
19,16840.8,0.17139,1.71648,0.9619,0.9514,0.94818,0.98422,0.98121,0.27733,1.50368,0.42288,0.0187546,0.0187546,0.0187546
20,18286.4,0.17145,1.69161,0.96247,0.96087,0.94073,0.98504,0.98355,0.26337,1.44304,0.39735,0.0186166,0.0186166,0.0186166
21,18868.2,0.17071,1.6872,0.96147,0.96282,0.94795,0.986,0.98398,0.25883,1.39549,0.38933,0.0184721,0.0184721,0.0184721
22,19451.4,0.16809,1.65835,0.96047,0.96356,0.94942,0.98665,0.98618,0.25766,1.3677,0.38443,0.0183212,0.0183212,0.0183212
23,20036.9,0.16945,1.65257,0.96154,0.96761,0.94899,0.98736,0.98439,0.28186,1.3847,0.41607,0.0181641,0.0181641,0.0181641
